FRESATITAN      EQUIP: REF 040  Fressadora FANUC 2         DATA: 2025            229AG695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;incidències 1;incidències 2;TOTAL US;TOTAL  INCIDÈNCIES
26/05/2025;12:30;Gerard;Gerard;15:30;Gerard;OK;15:30;Gerard;Gerard;17:30;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
27/05/2025;14:30;Gerard;Gerard;16:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
28/05/2025;12:45;Gerard;Gerard;14:00;Gerard;OK;14:30;Gerard;Gerard;16:00;Gerard;OK;16:45;Gerard;Gerard;18:00;Gerard;OK;;;;;;;;;;;;;;;3;
29/05/2025;12:45;Gerard;Gerard;14:30;Gerard;OK;15:00;Gerard;Gerard;16:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
30/05/2025;12:15;Gerard;Gerard;13:30;Gerard;OK;13:30;Gerard;Gerard;14:10;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
MAIG 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Maig 25;95;
02/06/2025;11:30;Gerard;Gerard;12:15;Gerard;OK;13:30;Gerard;Gerard;15:30;Gerard;OK;15:30;Gerard;Gerard;16:30;Gerard;OK;;;;;;;;;;;;;;;3;
03/06/2025;12:30;Gerard;Gerard;13:15;Gerard;OK;13:15;Gerard;Gerard;13:30;Gerard;OK;13:30;Gerard;Gerard;14:30;Gerard;OK;;;;;;;;;;;;;;;3;
04/06/2025;12:30;Gerard;Gerard;13:20;Gerard;OK;13:20;Gerard;Gerard;15:30;Gerard;OK;17:00;Gerard;Gerard;18:30;Gerard;OK;;;;;;;;;;;;;;;3;
05/06/2025;11:30;Gerard;Gerard;13:00;Gerard;OK;13:00;Gerard;Gerard;14:30;Gerard;OK;14:30;Gerard;Gerard;15:30;Gerard;OK;;;;;;;;;;;;;;;3;
06/06/2025;11:30;Gerard;Gerard;12:30;Gerard;OK;13:00;Gerard;Gerard;13:45;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
